Person;BewertungEingabe;BewertungSicherheit;ProblemeSpeichern;ProblemeEntsperren;BevorzugenVorPasswort;QuelleKlopfzeichen;TŠtigkeit;Alter
answers/ODovXiVQ8fVCbN9e2LlWNkj4U742;1;3;1;1;3;Bekannte Melodie aus Kindheit;Student der Rechtswissenschaften;21
answers/OVBSZgbet7h1q0Ynm5mpbbWmCFu2;3;2;4;3;4;Vibrationsmuster Handy;Medizinstudent;20
answers/P2JE9dw8gWOKpOkFQZTGzSFfNjw1;4;2;1;4;5;"Das Klopfsignal von Sheldon Cooper an Pennys Tür in ""Big Bang Theory""";Sprachwissenschaftlerin;39
answers/P3igOUh7OpXO5jUdg8s9SYTa3Zp1;4;3;4;3;4;Spontan ;Student (Psy);20
answers/P9UJemBO60Xc7HGaJV5gFqrz6dK2;3;5;2;3;3;Lied;BWL Studium;20
answers/PYkJuCCf7OYmCqO1jKSdL7fquj22;1;4;1;1;2;Musik;Verwaltungsangestellte;49
answers/Qtg269K979P5NiRKH1nzJghiQ933;1;3;1;1;5;spontan geklickt 3 x;Klass. Archäologie;43
answers/R5siUpiGqUgD7gkhtmCC1M3HJay2;5;1;5;5;3;intuitive;Psychology;28
answers/Sk8tXnKFwqbxS2jwKOqXRggAzMI2;3;2;3;3;4;Melodie im Kopf;Statistik;36
answers/So1sE2voYvYIhox3X00dKc8qzxt2;3;1;3;3;5;;;
answers/SpjjW7eK2se6xQMS5QO7SPwKDz63;1;;;;;;;
answers/T4u0jXoi9Basb2giwgiN64Pc5Kk2;2;2;5;5;5;Zufall;VWL;21
answers/UuCDdPYug9cDjvg76opwyxPPNwm1;1;2;1;1;2;Takt/Melodie eines Liedes;Ich studiere Humanmedizin;18
answers/V1ETrXLGNnPhjV4eVesaUP7mJVG3;4;4;4;1;3;spontan;Studentin der Humanmedizin;18
answers/VMMhr6AzmMMcgWGuHkobzmwo0rv2;3;2;3;2;4;Einfach n paar mal was ausprobiert;Studium: Politikwissenschaft;20
answers/VewoaWCiRHQoAZ2wT48J2vSlNAs2;3;2;3;3;4;"Ich hatte hier erst wenig Ideen, nur einmal, zweimal, dreimal oder einmal zweimal einmal
Aber ""Alle meine Entchen"" hat auch funktioniert =)";Wirtschaftswissenschaften Masterstudium;25
answers/Vj6MvL6imdhi81vOnptM4a5wEOg2;2;3;1;1;4;Refrain von einem Lied, was ich grad im Kopf hatte;Chemie;14
answers/WMqza7UPeBTioWlaymeQ3v9WtMi2;1;3;1;1;3;Reiner Zufall;Wirtschaftsinformatik;27
answers/Wa8gP3sUZ3Qa7LNtOWpB4kHOc1w2;2;2;2;2;5;Melodien, Name;Humanmedizin;27
answers/WswcSmVI0tYplR0RazqIpnDG0Wq1;3;3;1;1;5;Intuitiv, sehr einfaches Muster;Wissenschaftsmanagerin;29
answers/WxPDLfI7chfhmMq0OyRr1E9PmiU2;4;4;1;4;3;Musikzeile;wissenschaftl Mitarbeiterin;44
answers/Y1sSSF3DnMdYGxCQaqXh4upBNw23;3;1;4;4;5;Intuition;" 
.

";65
answers/Y82GPSmqV0Wu1MXyJs1HoLMDflc2;1;4;1;1;2;Liedtext;Angestellter;47
answers/YeEEEGWDb2eREGl7sWYo2qKNtB12;2;3;1;2;4;"Das ist der Anfang von Richard Strauss ""Alpensinfonie""";Student (Rechtswissenschaften);25
answers/YvWhlSJyoLephi3siHPsunCeDZk2;1;;;;;;;
answers/Z2sOjYbjLGeKgeF160ccWTDALTu1;2;3;1;1;3;§ 126a BGB;Jurastudent;21
answers/ZWUIjdveIPeMSU2BcffLLtneNoI3;2;1;2;1;5;Ausprobieren;Verwaltungsangestellter;38
answers/ZhBGSKb2kHPGVv3Si0WboJI46M83;1;3;1;1;2;Einfach einen Rhythmus ausprobiert;Wiss. MA;47
answers/Zl6bFgpJLnb0LlqhGOw2iqHMl0A2;5;1;5;5;5;Intuition, zufall...;Latinistik;2
answers/Zt18fstGxISW6iKTxK877KqBYSY2;2;3;1;1;3;Lied;Studium Buchwissenschaften;19
answers/aIK5DUkZzebxL4GoC1eHLSakuQG2;5;;;;;"Ein Kopfzeichen habe ich nicht. Nur ein Klopfzeichen. Lolololol tolle Speicherfunktion!!!bdjdjdjdjdjdjdjsj











";"





";
answers/amJII7mDelh2CcQRrWoyMEhBmOA2;4;4;4;4;5;;;
answers/aqgjdU2vXhgQF2wTpGOKXd7CPol1;5;3;1;5;5;Bekannte Melodie;PhD Student Neurobiolgie;30
answers/b0M4ZAQ6NgP6lSPFcFcey9geGWA2;1;1;1;1;3;typischer Rhythmus;Verwaltung;45
answers/b5A1ckjz4KSly3o6jGVZzv7e6743;3;2;1;3;4;Zufällige Melodie aus meinem Kopf gefischt;Studium Psychologie ;18
answers/b6vOeuVT02f7ex6Lr2dmmbGRnE13;2;4;1;4;2;;Student VWL;22
answers/b8yaWQwP92RHDwirKVAkAC2QwVs1;2;3;1;1;2;überlegt, welches Zeichen gut passt;Hochschullehrer;44
answers/bgr7MLOAepQcBh6tMUMauw37vvF3;3;4;4;5;4;Bereits bekannte Rhythmen verwendet;Student;28
answers/blS56jGfa1QOzhGcIIr3FzrfnuD2;4;5;3;5;5;Hmmm ;Medizin;39
answers/ce0yXFYMZqN1vqONC2YgOPtGwMa2;5;1;5;5;5;Zufall;Studium der Medizin;21
answers/dbbYlXc1ZsNO9Eg555WzZnU8Lyw1;1;2;1;1;5;keine Ahnung;Philosophie;26
answers/eYq8p2tmjEfNaJvX8w8YjL2GLcz2;3;2;1;4;4;Spontaner Rhytmus;Wiss Mitarbeiter;27
answers/enyEv92fAXWlFo1bIrWD4ewYCO33;1;1;4;5;5;Spontan;Pädagogik Student ;19
answers/f6d5ORXZnERj7ywpkkzMRrspP1H3;2;2;5;5;2;;;
answers/fUGu1qgOlTgQS8AnuquHAMallHk1;1;1;4;3;5;spontan;studium;20
answers/fUx5YqC2rwQxyrUndkcGbOw22cv2;4;2;4;4;5;Mail;Studium Geschichte;20
answers/g3Rj9BtSIvbWd7QR0aaErLeCOZl1;1;3;1;1;1;Ein bekannter Rhythmus;Öffentlichkeitsarbeit;44
answers/gClHuqnmOMVuFhsuXohGFOnrdmp1;2;1;5;4;5;Klassische Musik ;Chemiestudium ;19
answers/gHngEZ3CWyXqmOKMdwddpEyrdh93;3;2;2;3;3;;;21
answers/gsdqg4mknccgmV1QHyW93lDRofs2;2;3;1;1;;Erinnerung an ein bereits existierendes Klopfzeichen;Allg. Sprachwissenschaft;33
answers/hA6v95wf83ZFt6SGcUEy8tIgPuq1;1;1;1;1;5;Stabreim, nicht sehr versiert.;Geschäftsführung;40
answers/hCC8b9GKYiX18i78AgIWLa4e2Hs2;1;4;1;1;1;spontaner Rhythmus;LA Sprachheilpädagogik;20
answers/huB12GAAXtW7awO6fOPyiptGBx13;2;2;1;2;2;Eine Melodieausschnitt aus einem mir bekannten Musikstück;Verwaltungstätigkeit;35
answers/i8MdTHcRHPgKWGzq45EKivViuFs2;3;2;4;4;4;Musik, bekannte Melodie;Chemiestudium;22
answers/iSEJLTB4L8YOEu7nx3LDDN5uHKw2;2;2;2;2;3;Das Finden war für mich ggü. einem Passwort tatsächlich sehr schwierig, zumal auch keine akustische oder haptische Rückmeldung vorhanden war. Ich würde eine Authentifizierung mittels der Hüllkurve beispielsweise der Lautstärke eines Tonsignales bevorzugen, da diese im Gehirn auch ohne Wiedergabe des Tonsignales für einen Großteil der Menschheit  intuitiv und sehr leicht reproduzierbar ist. Dieses sich selbst vergrößernde Text-Eingabefeld ist im Übrigen großartig und sollte in sämtlichen GUIs im Kundendialog über das Internet eingesetzt werden :-);—;
answers/j1MPcGS91DTwzhzsGSI042paK2H2;2;1;4;1;2;Kenne ich seit 40 Jahren;Webkoordinator;60
answers/jH8CbTIm52UxoqkG2HyOvcp30Ru2;1;3;;1;4;Spontan;Tiermedizin studium;22
answers/k8GrfnHzA0MqBxuYvUsGMgQe9ZF2;4;2;5;1;5;Rhythmus einer Melodie ;Humanmedizinstudium;19
answers/kEvNjkmOE0bPnKLU2wMtJVRko9M2;1;4;2;1;4;Rhythmus der ersten takte eines Musikstückes;Studium Sinologie + Musikwissenschaft;20
answers/kvGjMW0YJZgENHc6ShnqSgUQNZE2;1;4;1;1;2;Melodien;Bildungswissenschaften;26
answers/lrKM0zmdtNZRCce0zR1rIJebKwq1;4;3;1;4;5;Vorstellung einer Melodie;Rechtswisschenschaft;27
answers/lt3KiigrUGZsTbJIvJFOkkVSvwr2;3;5;4;4;2;;wissenschaftlicher Mitarbeiter;33
answers/m1UsEP1qlaXWJMqbAzgtmAhAEgo1;1;2;1;1;4;ohne spezielle Assoziation;Doktorandin Gesundheitswissenschaften;24
answers/mjjmsaVYeJWnxXApt8TvlFEct3p1;1;1;1;1;2;Musik;Arbeitslos;18
answers/mlGgop5BvDeKfwm8AMbPyjFSQUx1;3;2;3;4;4;willkürlich, aber mir sind auch nicht so viele Folgen von Klopfzeichen eingefallen außer Kombinationen von größeren und kleineren Abständen zwischen den Klicks;Germanistin;28
answers/ohE4KoVoDUVEjmkVzTr63jQRkRG2;3;1;1;1;5;standard rythmen...;Student;
answers/owRC4NgFOiNKRpteLT8BKDHHId83;1;2;1;1;4;bekannte melodie/rhytmus;PhD ;26
answers/q22y0dgqAQcLSaureTd9k73HeEP2;4;2;1;1;5;Zufällig;Statistikstudium;28
answers/q3DUHPPDT5XGaMdbTgcittcxGHm2;1;2;3;1;1;SOS;Kommunikationswissenschaften;25
answers/qP8xP289VnfH2isBXUU0jLx9gwA2;2;2;1;1;4;Musik;Medizinstudent;19
answers/qQaeXUktbnbnuAAsbF1n6nPqoYW2;2;1;4;4;3;Es ist der Anfang eines Lieds;Arzt;60
answers/rawnY8BRkwfUw5ORQrjY46vRsgU2;4;1;5;4;5;Dachte irgendwie an einen 3/4 Takt gedacht, den ich 6 mal wiederhole (obwohl der nicht so wäre, kann ich es mir damit merken. Das ist wohl auch eines der schwierigsten Fragen: wie findet man einen guten Rythmus).;Wiss. Mitarbeiter (2ter Versuch des knocklock);34
answers/sY8ld8gUBNVNjW1a2SzEBNy2tpL2;2;2;1;1;3;Nach Gefühl ;Schüler ;17
answers/sZ1X9bppK7WXMQ1MTXY9RkZV1Vi2;2;2;4;1;5;Klang meines Namens;Medizin;19
answers/smcsjR0ejGUcNg2Pbpt5i9fxjKH3;1;1;1;3;5;Takt;Angestellte;50
answers/ssToIuYI0ncRKqIIZ3efZkWoL5r2;3;3;4;4;2;spontan;Tierärztin;35
answers/svb1JGevVgMjCGvsz0Yjmlp9OVY2;3;1;4;4;5;Spontaner einfall;Tiermedizin;22
answers/tn04zPoFn0QtOGfnXpXs208WMIf1;3;4;5;4;2;Intuitiv ;Bildungswissenschaft/Pädagogik und Soziologie Studium ;30
answers/u6HWpeGehret6oBoE2BhoZHWrZJ3;1;3;1;1;4;Spontan;Wissenschaftl. Mitarbeiter;35
answers/uCemmOtrkwTVqsFrNye2c4n627e2;1;3;3;1;4;;;
answers/vtVixLGRBkR2Y9sIcCwDsFvKDrs1;4;2;5;3;5;;Soziologie Master;26
answers/vyorrLH6PbfG31U9eHICvU5mpu82;2;2;1;1;5;Bekannter Rhythmus;Student in Economics;24
answers/wiIjKM00F7RxzDOCDFWwvqObqB33;1;3;1;2;3;Spontan;Medizinstudent;21
answers/yT4rroBrgZQArYrh9YMUm20uoNv1;3;2;4;2;4;Zufall;Kauffrau ;38
answers/zRBiImj6pzMWutpaUAUvw1law6y2;2;3;5;;;;;
